ID,NOME,Tamanho,QTD,ESTOQUE,PREÇO DE COMPRA,% NA VENDA,VALOR FINAL,VALOR TOTAL CUSTOS,VALOR TOTAL,CREATED_AT
A98EC045,CAMISA MASCULINA,,4,4,"R$ 25,00",45,"R$ 45,45","R$ 100,00","R$ 181,82",13/02/2023 16:39:52
D6BE0F31,SHORT,,3,1,"R$ 23,00",50,"R$ 46,00","R$ 69,00","R$ 138,00",13/02/2023 16:50:12
FD32777A,CHAPEU,,21,8,"R$ 17,00",50,"R$ 34,00","R$ 357,00","R$ 714,00",13/02/2023 16:53:55
D0CE0107,SHPRT EMP,,2,2,"R$ 20,00",50,"R$ 40,00","R$ 40,00","R$ 80,00",13/02/2023 17:03:53
671A6662,SHORT,,5,3,"R$ 10,00",60,"R$ 25,00","R$ 50,00","R$ 125,00",13/02/2023 17:06:13
A8B81B9C,TOP,,4,3,"R$ 15,00",50,"R$ 30,00","R$ 60,00","R$ 120,00",13/02/2023 17:22:55
6C81CBC5,CONJ MASCLINO,,4,1,"R$ 30,00",60,"R$ 75,00","R$ 120,00","R$ 300,00",14/02/2023 13:23:43
55B3A122,CON CIRCUITO FITNES FEMININO,,3,2,"R$ 45,00",60,"R$ 112,50","R$ 135,00","R$ 337,50",14/02/2023 13:40:23
15EAFD2A,chapeu viseira,,6,6,"R$ 10,00",60,"R$ 25,00","R$ 60,00","R$ 150,00",28/04/2023 18:52:04
6210B01B,luva,,4,4,"R$ 14,00",60,"R$ 35,00","R$ 56,00","R$ 140,00",28/04/2023 19:00:17
49312AAC,camiseta feminina regata,,11,10,"R$ 8,00",60,"R$ 20,00","R$ 88,00","R$ 220,00",29/04/2023 06:57:25
E27D3FE3,shor saia com bolso,,6,6,"R$ 13,00",60,"R$ 32,50","R$ 78,00","R$ 195,00",29/04/2023 07:24:31
740AFAB3,sort com bolso,,6,6,"R$ 13,00",60,"R$ 32,50","R$ 78,00","R$ 195,00",29/04/2023 07:31:03
A4AC470C,conj  com short,,3,3,"R$ 45,00",60,"R$ 112,50","R$ 135,00","R$ 337,50",29/04/2023 07:40:39
1B42AE88,Conj com leg,,3,3,"R$ 58,00",55,"R$ 128,89","R$ 174,00","R$ 386,67",29/04/2023 07:46:56
A5547548,conj com bolso,,6,6,"R$ 16,00",65,"R$ 45,71","R$ 96,00","R$ 274,29",29/04/2023 07:55:49
3F731649,sort lacinho,,2,2,"R$ 12,00",50,"R$ 24,00","R$ 24,00","R$ 48,00",29/04/2023 08:09:15
F42A0C1E,Sort,,1,1,"R$ 17,00",60,"R$ 42,50","R$ 17,00","R$ 42,50",29/04/2023 08:12:36
C9ED03EE,Conj,,4,4,"R$ 26,00",65,"R$ 74,29","R$ 104,00","R$ 297,14",29/04/2023 08:15:21
59A6EF05,conj,,2,2,"R$ 47,00",65,"R$ 134,29","R$ 94,00","R$ 268,57",29/04/2023 08:44:06
ADF39C85,camiseao trasparente,,8,8,"R$ 15,00",46,"R$ 27,78","R$ 120,00","R$ 222,22",29/04/2023 08:56:00
5EBCF6DE,sort folgadinho,,15,15,"R$ 10,00",60,"R$ 25,00","R$ 150,00","R$ 375,00",29/04/2023 09:03:17
4BAE6EE3,calça com zíper,,3,3,"R$ 35,00",50,"R$ 70,00","R$ 105,00","R$ 210,00",29/04/2023 09:16:58
08B15484,conjunto c/ legging,,3,3,"R$ 20,00",75,"R$ 80,00","R$ 60,00","R$ 240,00",29/04/2023 09:20:27
4319BB18,camisa uv,,3,3,"R$ 13,00",60,"R$ 32,50","R$ 39,00","R$ 97,50",29/04/2023 09:25:36
C51D26A4,short saída de praia,,4,3,"R$ 15,00",45,"R$ 27,27","R$ 60,00","R$ 109,09",29/04/2023 09:30:04
2800A962,saída de praia longa,,3,2,"R$ 20,00",40,"R$ 33,33","R$ 60,00","R$ 100,00",29/04/2023 09:35:25
2C056E29,croped,,5,5,"R$ 10,00",70,"R$ 33,33","R$ 50,00","R$ 166,67",29/04/2023 09:39:55
37C19E2E,vestido,,4,3,"R$ 25,00",55,"R$ 55,56","R$ 100,00","R$ 222,22",29/04/2023 09:44:30
C2B38596,camiseta masculina,,6,6,"R$ 10,00",70,"R$ 33,33","R$ 60,00","R$ 200,00",29/04/2023 10:00:28
D68A9138,camiseta masculina,,10,10,"R$ 10,00",60,"R$ 25,00","R$ 100,00","R$ 250,00",29/04/2023 10:06:44
9F3E6B2D,bermuda masculina,,5,5,"R$ 20,00",50,"R$ 40,00","R$ 100,00","R$ 200,00",29/04/2023 10:17:24
2604B5E7,bermuda masculina,,3,2,"R$ 28,00",50,"R$ 56,00","R$ 84,00","R$ 168,00",29/04/2023 10:25:09
F9769392,biquini,,10,8,"R$ 40,00",56,"R$ 90,91","R$ 400,00","R$ 909,09",29/04/2023 10:28:50
